reading_id,plant_id,timestamp,so2_ppm,nox_ppm,pm_ug_m3,co_ppm,voc_ppm,effluent_ph,effluent_cod_mgL,effluent_bod_mgL,effluent_tss_mgL,process_temp_c,process_pressure_bar,process_flow_m3h,operational_status,is_anomaly,data_quality_flag
42,PL05,2026-08-19T02:00:00,51.62,34.52,54.14,13.83,9.49,6.83,69.0,22.0,42.3,71.3,1.73,254.6,Running,False,Normal
43,PL05,2026-08-19T04:00:00,54.62,34.4,61.36,13.79,11.14,7.32,75.3,22.5,46.2,76.0,1.84,252.2,Running,False,Normal
44,PL05,2026-08-19T06:00:00,49.93,40.4,58.87,14.56,9.21,7.86,73.5,22.6,44.8,71.3,1.72,284.9,Running,False,Normal
45,PL05,2026-08-19T08:00:00,67.81,42.52,80.92,18.59,13.01,7.38,93.5,30.6,63.6,91.9,2.13,324.2,Running,False,Normal
46,PL05,2026-08-19T10:00:00,61.51,44.75,81.79,16.86,14.61,6.84,93.0,26.8,47.2,86.6,2.2,321.5,Running,False,Normal
47,PL05,2026-08-19T12:00:00,58.71,40.39,79.09,16.19,11.14,6.78,78.0,26.9,59.5,80.4,1.99,318.0,Running,False,Normal
48,PL05,2026-08-19T14:00:00,53.61,39.34,66.25,18.22,12.62,7.37,86.2,28.1,47.4,91.4,2.01,345.0,Running,False,Normal
49,PL05,2026-08-19T16:00:00,60.3,42.91,69.75,15.4,11.23,7.24,83.5,23.6,49.1,82.1,2.25,287.8,Running,False,Normal
50,PL05,2026-08-19T18:00:00,58.91,37.4,74.26,14.85,13.05,7.13,78.1,23.5,46.8,80.3,2.22,320.8,Running,False,Normal
51,PL06,2026-08-19T00:00:00,17.76,14.47,40.59,7.89,21.82,6.93,74.5,26.2,48.9,73.8,1.65,259.1,Startup,False,Normal
52,PL06,2026-08-19T02:00:00,19.72,14.88,45.63,6.82,21.99,6.77,71.8,23.1,47.2,75.1,2.11,284.2,Running,False,Normal
53,PL06,2026-08-19T04:00:00,18.62,15.42,44.83,8.38,26.43,7.27,77.7,25.9,47.1,79.8,1.76,267.5,Running,False,Normal
54,PL06,2026-08-19T06:00:00,18.7,11.54,41.23,7.29,24.25,6.77,63.9,20.5,45.5,70.2,1.73,239.7,Running,False,Normal
55,PL06,2026-08-19T08:00:00,20.67,18.72,47.47,8.62,24.25,6.6,86.0,26.2,44.1,81.8,1.95,330.8,Running,False,Normal
56,PL06,2026-08-19T10:00:00,23.06,17.13,56.6,9.23,28.97,6.68,90.7,28.8,56.2,87.8,2.14,348.2,Running,False,Normal
57,PL06,2026-08-19T12:00:00,24.21,17.09,50.59,8.11,27.31,6.77,74.4,25.2,56.9,83.3,2.13,332.5,Running,False,Normal
58,PL06,2026-08-19T14:00:00,20.96,18.84,43.81,10.15,32.4,6.37,81.7,25.4,59.7,85.5,2.08,321.6,Running,False,Normal
59,PL06,2026-08-19T16:00:00,25.33,16.47,48.6,8.54,28.86,6.96,93.1,28.5,46.8,,1.96,345.6,Running,False,Missing
60,PL06,2026-08-19T18:00:00,24.69,13.68,54.52,9.16,26.65,7.41,81.0,23.2,49.0,84.2,2.08,338.3,Running,False,Normal
61,PL07,2026-08-19T00:00:00,20.65,21.18,31.09,8.08,2.23,6.87,27.8,8.0,21.0,30.2,0.77,101.6,Idle,False,Normal
62,PL07,2026-08-19T02:00:00,24.05,22.59,33.86,9.09,2.29,7.34,29.5,9.2,20.5,30.1,0.73,119.0,Idle,False,Normal
63,PL07,2026-08-19T04:00:00,24.48,21.34,34.25,9.06,2.4,6.84,33.8,11.9,20.2,32.0,0.82,112.1,Idle,False,Normal
64,PL07,2026-08-19T06:00:00,28.52,24.37,42.36,9.51,2.5,7.15,37.7,13.1,18.9,33.9,0.83,123.4,Idle,False,Normal
65,PL07,2026-08-19T08:00:00,37.75,30.73,46.16,12.12,3.59,6.68,46.2,16.3,28.3,43.6,1.14,166.8,Idle,False,Normal
66,PL07,2026-08-19T10:00:00,34.95,29.79,49.72,13.3,3.45,6.56,45.7,13.3,24.2,,1.0,174.8,Idle,False,Missing
67,PL07,2026-08-19T12:00:00,34.8,33.87,53.77,12.63,3.42,7.17,48.6,17.0,27.6,46.0,1.1,160.8,Idle,False,Normal
68,PL07,2026-08-19T14:00:00,44.62,31.72,50.44,15.8,3.84,6.74,43.8,14.9,27.5,48.7,1.24,175.8,Idle,False,Normal
69,PL07,2026-08-19T16:00:00,37.51,35.1,52.21,14.76,4.09,7.26,52.2,15.7,30.0,50.5,1.21,193.1,Idle,False,Normal
70,PL07,2026-08-19T18:00:00,34.62,32.07,54.08,16.19,3.75,6.71,51.3,17.2,33.7,49.7,1.17,175.8,Idle,False,Normal
71,PL08,2026-08-19T00:00:00,14.23,16.81,25.94,5.87,24.85,6.66,72.5,24.5,49.7,72.4,1.9,273.4,Startup,False,Normal
72,PL08,2026-08-19T02:00:00,15.19,16.33,28.48,5.27,22.06,7.66,69.8,24.6,46.7,68.5,1.71,293.9,Running,False,Normal
73,PL08,2026-08-19T04:00:00,17.31,18.94,27.78,4.61,29.46,7.09,83.9,28.8,43.6,79.0,1.93,291.7,Running,False,Normal
74,PL08,2026-08-19T06:00:00,15.75,14.74,28.38,4.95,31.75,6.93,71.8,24.7,39.3,73.9,1.65,259.6,Running,False,Normal
75,PL08,2026-08-19T08:00:00,20.07,21.12,38.88,6.67,32.18,7.06,86.4,26.7,56.1,86.9,2.06,335.0,Running,False,Normal
76,PL08,2026-08-19T10:00:00,18.89,20.55,37.66,6.43,37.75,6.97,89.3,25.8,60.3,90.1,2.45,327.8,Running,False,Normal
77,PL08,2026-08-19T12:00:00,16.51,18.36,34.08,5.5,28.13,6.85,82.6,26.0,56.1,79.3,2.13,332.8,Running,False,Normal
78,PL08,2026-08-19T14:00:00,16.56,23.23,33.07,7.01,29.14,7.27,86.8,26.5,52.2,94.3,2.34,336.5,Running,False,Normal
79,PL08,2026-08-19T16:00:00,15.63,20.82,33.52,6.1,35.12,7.27,83.1,27.7,49.9,85.2,2.23,303.1,Running,False,Normal
80,PL08,2026-08-19T18:00:00,17.4,20.98,37.0,6.24,31.0,7.28,87.4,26.9,52.0,78.6,1.95,289.8,Running,False,Normal
